,beta,cum return,rtn mean,rtn std
TDM,0.9013416391053293,0.2088206676065849,0.0006092402839913952,0.020217143702470654
TEG,0.6385761729836053,-0.34083621823941956,-0.0001770335770771024,0.03346545885648342
TGG,0.8081861973019026,-0.9056657944170556,-0.003312031247635185,0.03941677650194879
THG,0.2877857644787854,4.624552961831069,0.0015730268010426696,0.019411176588320898
THI,0.35674759463537503,-0.12766249695766263,0.00034042371960940724,0.03309659754265747
TIP,0.6870199455003746,1.2002290201210535,0.0011373874180766312,0.02562516979439516
SKG,0.6876770040954279,-0.5679165874188624,-0.0004661195405493599,0.020272361249830124
SMA,0.3578625834970255,2.2910602320764886,0.0019644389170516306,0.04059719723933522
SMB,0.4092498379968345,0.24741832957987397,0.0005432607519219847,0.01567417595472757
SMC,0.4222755152064604,1.9522038201517433,0.0011927448602133638,0.02492174954676395
SPM,0.04926456813120337,-0.22624197302204296,0.00018539190795602983,0.02926132301227457
SRC,0.3984125427892258,0.10604175307617858,0.0004196889996592463,0.02607614344753603
SRF,0.27894536255824465,0.8649703628740781,0.0008556698569516267,0.026290319379219856
SSC,0.10955142987484515,0.4717210208693612,0.0011959449641288447,0.04008701075292147
SSI,1.3685753250989532,-0.055721375250963656,0.00015456792780225856,0.02002683295230631
ST8,0.19123122137450396,0.0806090705670468,0.0005080554352206232,0.029547445502798777
STB,1.1876496500055307,-0.10671558462274688,0.00017332362740323662,0.02301712990866955
STG,0.2522929492687387,1.0428231122929477,0.0010803784074324729,0.030863768739780528
SFG,0.4070207192263922,-0.34583054900995314,-0.00014400007718958331,0.020169624273517647
SFI,0.10897251210397797,0.06365307226946615,0.0003486864313907895,0.02442832079042962
SGN,0.5630002619697695,-0.31786769612048416,-0.0005768877953379882,0.017861003627225498
SGR,0.13961423704261983,-0.10348216529688248,0.0003817522845295383,0.03481649623062761
SGT,0.332886304124099,0.5277777777777777,0.00129108900961773,0.042308301856697005
SHA,0.19520261434911582,-0.24055042675492078,-0.00015618161204963014,0.016965527930642536
SHI,0.49432448310885363,0.1970862411492027,0.00035950012393600177,0.02079563112939864
SHP,0.18543685286312225,0.726949303290839,0.0007424617945982389,0.021790871282038528
SII,0.17660590713030155,-0.4147157190635451,0.0004919122757878727,0.048909294430708045
SJD,0.26483934558020866,0.6916566926462409,0.00047696892198686514,0.010512363296802708
SJF,0.7901023654788004,-0.7798478792012363,-0.001324849220740349,0.03399294954259398
SJS,0.6930742776667395,0.5846401683269224,0.0006292520371548863,0.022866404474875965
SAM,0.43629472505545325,0.8417748011720385,0.0006166249300252458,0.015988703463521582
SAV,0.2873001590708089,0.7745062600637509,0.0011604967578168277,0.03574498368531507
SBA,0.2446119177107661,1.226069750185506,0.0007340300512278363,0.013103628493701851
SBT,0.6838791675907159,0.5585793714835243,0.0005965085038293422,0.02195810489930588
SBV,0.09325931370879238,-0.6588361438736718,-0.0009748662824258686,0.026865339162468634
SC5,0.33631717457512705,0.022171990825383014,0.0008587707151320933,0.04088362893718635
SCD,0.13245079305238053,-0.3883326491720742,0.0001126648145148435,0.03263653399022062
SCR,1.1833124712468224,-0.16400402678688664,9.600351375415869e-05,0.023913457855777556
SCS,0.611995136416313,-0.21008486000238824,-0.0003130707922414595,0.016494727766441765
SFC,0.23354289935759018,0.6685854751384652,0.0012938686436319603,0.03436074564102278
PNC,0.15323770287145397,-0.4195645444226602,0.0005993836476110097,0.05038127759059467
PNJ,1.1034126174184524,3.1251621092133215,0.0013382075408306226,0.0201199198213286
POM,0.7278461538660422,0.29228430254656024,0.0006919804478990609,0.03079322927642033
POW,1.3373906366654305,-0.3557692307692307,-0.0008398571723775773,0.021180566920419523
PPC,0.6628906501944107,1.5642370214997379,0.0009484221085743328,0.019741178708175336
PSH,-0.5870196300518221,-0.02083333333333326,-8.302763162982336e-05,0.024833013188560994
PTB,0.8045211947538458,2.3237989300280737,0.0011629643686603955,0.020072402051645784
PTC,0.4048658738942663,-0.2142857142857142,0.0006088257188875751,0.041540616563148156
PTL,0.4017670412994938,2.464705882352941,0.0016308670311982968,0.0355563213581108
PVD,1.3648473034818511,-0.6172528988242432,-0.0003944926357570805,0.0273703566035754
